date,product_id,product_name,quantity_sold,amazon_price,meesho_price,discount_pct,stock_quantity,rating,num_reviews,page_views,conversion_rate,demand_intensity,cost,profit
2025-06-02 00:00:00,P0007,TechPro Headphones Plus,2,1514.59,1469.0,0.0,286,4.9,362,165,1.21,2.0,2475.62,553.56
25-06-2024,P0010,SmartGen Headphones Plus,5,2265.32,1976.83,0.0,310,3.6,66,334,0.3,1.0,9003.75,2322.85
21-01-2025,P0016,ChicLine Jeans Premium,3,222.52,200.52,6.73,436,4.6,214,332,0.3,1.0,503.25,164.31
2024-10-12 00:00:00,P0039,AcademiaBooks Comics Plus,2,94.33,87.78,0.0,347,3.6,315,167,1.2,2.0,151.5,37.16
30-08-2024,P0042,AcademiaBooks Comics Premium,3,71.16,64.66,0.0,208,4.1,161,169,0.59,1.0,169.32,44.17
18-04-2024,P0014,StyleHub Jackets Elite,5,282.79,254.44,0.0,499,3.9,133,284,0.35,0.99,938.5,475.43
2024-05-05 00:00:00,P0033,ModernSpace Storage Plus,1,363.92,320.13,0.0,329,4.4,85,158,0.63,1.0,287.04,76.88
2024-09-09 00:00:00,P0032,HomeEssence Cookware Elite,5,459.88,444.04,0.0,444,3.9,389,371,0.27,1.0,1613.15,686.27
2024-06-05 00:00:00,P0042,AcademiaBooks Comics Premium,2,76.28,65.61,0.0,208,4.1,161,206,2.43,5.01,112.88,39.69
2024-01-06 00:00:00,P0022,StyleHub Shoes Pro,5,53.72,52.13,0.0,435,4.1,256,117,1.71,2.0,170.8,97.8
18-12-2024,P0023,TrendSet Jeans Standard,5,295.73,259.41,20.99,185,4.2,226,176,1.14,2.01,1363.4,115.24
17-10-2024,P0039,AcademiaBooks Comics Plus,3,101.34,93.38,0.0,347,3.6,315,411,0.49,2.01,227.25,76.76
2024-03-12 00:00:00,P0030,HomeEssence Decor Pro,3,482.47,438.15,0.0,499,4.8,390,482,0.41,1.98,1016.73,430.67
2025-11-02 00:00:00,P0034,KitchenPro Storage Pro,5,45.72,40.99,0.0,233,4.5,191,351,0.57,2.0,176.45,52.17
27-03-2024,P0010,SmartGen Headphones Plus,2,2158.56,1882.43,0.0,310,3.6,66,390,0.51,1.99,3601.5,715.63
2025-02-01 00:00:00,P0015,StyleHub Jackets Premium,3,64.49,57.42,0.0,442,4.2,291,315,1.27,4.0,131.94,61.52
17-12-2024,P0036,HomeEssence Storage Standard,2,118.27,102.51,22.38,460,4.7,146,356,0.56,1.99,203.98,32.56
13-08-2024,P0048,StoryWorld Comics Standard,3,18.54,17.31,0.0,118,4.3,296,124,0.81,1.0,40.56,15.06
28-03-2024,P0029,HomeEssence Bedding Premium,5,572.51,541.67,0.0,410,5.0,344,255,0.78,1.99,2207.25,655.3
21-12-2024,P0003,DigiCorp Tablets Standard,5,1906.79,1845.13,0.0,224,4.9,182,53,1.89,1.0,8141.95,1391.98
30-12-2024,P0025,ModernSpace Decor Premium,3,385.27,366.84,0.0,91,4.4,355,138,0.72,0.99,776.64,379.17
20-11-2024,P0014,StyleHub Jackets Elite,3,270.27,251.57,0.0,499,3.9,133,179,0.56,1.0,563.1,247.71
16-05-2024,P0017,TrendSet Dresses Pro,2,391.06,367.53,0.0,223,3.8,122,308,0.65,2.0,543.78,238.35
16-03-2024,P0030,HomeEssence Decor Pro,2,427.63,373.89,7.01,499,4.8,390,321,0.31,1.0,677.82,177.44
18-06-2024,P0037,ClassicPress Non-Fiction Plus,4,47.15,44.63,0.0,468,4.0,417,105,0.95,1.0,147.12,41.49
17-03-2024,P0004,TechPro Laptops Elite,3,940.68,887.03,0.0,463,4.3,482,71,4.23,3.0,2372.58,449.45
2024-06-11 00:00:00,P0018,StyleHub T-Shirts Pro,1,296.33,280.32,0.0,490,3.9,352,329,0.3,0.99,218.2,78.13
26-04-2024,P0035,ModernSpace Decor Plus,2,640.85,558.08,8.2,492,4.7,461,420,0.24,1.01,974.62,307.08
24-06-2024,P0038,ModernReads Non-Fiction Pro,1,15.12,13.64,0.0,445,4.3,357,346,0.58,2.01,11.66,3.46
29-05-2024,P0005,TechPro Tablets Elite,5,1491.36,1409.34,0.0,345,3.6,126,475,0.21,1.0,5632.4,1824.41
29-05-2024,P0010,SmartGen Headphones Plus,3,2100.45,2010.5,0.0,310,3.6,66,387,0.78,3.02,5402.25,899.09
2024-04-08 00:00:00,P0039,AcademiaBooks Comics Plus,1,101.65,87.57,0.0,347,3.6,315,92,1.09,1.0,75.75,25.9
22-06-2024,P0008,ElectroMax Smartwatches Plus,2,1869.32,1741.09,0.0,470,4.1,43,330,0.3,0.99,2770.0,968.64
2024-08-10 00:00:00,P0006,TechPro Headphones Standard,1,1809.7,1568.62,23.02,375,4.1,117,403,0.25,1.01,1717.87,91.83
2024-10-07 00:00:00,P0044,AcademiaBooks Textbooks Elite,1,35.77,34.44,0.0,288,3.8,252,172,1.16,2.0,24.71,11.06
19-05-2024,P0027,ComfortLiving Decor Plus,4,601.53,517.09,0.0,185,4.5,244,481,0.62,2.98,1873.32,532.78
15-11-2024,P0031,KitchenPro Decor Plus,1,205.6,181.95,0.0,401,4.3,138,443,0.45,1.99,147.09,58.51
2024-08-12 00:00:00,P0013,UrbanWear Dresses Premium,2,216.52,208.13,0.0,361,4.6,286,203,0.49,0.99,324.3,108.75
2024-08-06 00:00:00,P0012,TechPro Laptops Elite,4,1342.65,1251.41,20.01,107,4.2,498,318,0.31,0.99,5517.36,-146.77
20-04-2024,P0036,HomeEssence Storage Standard,4,150.66,144.56,0.0,460,4.7,146,57,1.75,1.0,407.96,194.68
27-06-2024,P0018,StyleHub T-Shirts Pro,1,242.35,232.72,19.35,490,3.9,352,54,3.7,2.0,218.2,24.15
15-03-2024,P0043,ModernReads Comics Plus,1,34.88,32.46,0.0,365,4.3,10,326,0.31,1.01,23.43,11.45
23-06-2024,P0002,TechPro Laptops Premium,1,288.21,282.05,0.0,151,4.3,122,127,0.79,1.0,232.71,55.5
30-10-2024,P0031,KitchenPro Decor Plus,3,212.21,183.12,0.0,401,4.3,138,253,0.4,1.01,441.27,195.37
2025-12-02 00:00:00,P0004,TechPro Laptops Elite,1,998.79,884.5,0.0,463,4.3,482,157,0.64,1.0,790.86,207.93
2024-06-11 00:00:00,P0009,DigiCorp Smartphones Standard,6,587.83,554.81,0.0,123,4.6,285,256,0.39,1.0,2787.72,739.27
2024-03-07 00:00:00,P0035,ModernSpace Decor Plus,1,714.58,693.95,0.0,492,4.7,461,436,0.23,1.0,487.31,227.27
2024-07-08 00:00:00,P0008,ElectroMax Smartwatches Plus,5,1799.41,1648.19,0.0,470,4.1,43,406,0.25,1.01,6925.0,2072.06
30-11-2024,P0023,TrendSet Jeans Standard,3,362.49,328.98,0.0,185,4.2,226,95,1.05,1.0,818.04,269.43
20-09-2024,P0032,HomeEssence Cookware Elite,4,459.07,431.82,0.0,444,3.9,389,103,1.94,2.0,1290.52,545.75
16-12-2024,P0033,ModernSpace Storage Plus,1,367.51,334.26,0.0,329,4.4,85,201,0.5,1.0,287.04,80.47
2024-10-03 00:00:00,P0004,TechPro Laptops Elite,1,1001.09,925.85,0.0,463,4.3,482,98,2.04,2.0,790.86,210.23
30-06-2024,P0001,TechPro Laptops Pro,2,1629.93,1419.97,5.16,396,3.6,226,323,0.31,1.0,2992.04,267.83
17-11-2024,P0040,AcademiaBooks Children Premium,2,78.21,69.61,0.0,109,3.8,32,345,0.58,2.0,122.0,34.43
18-05-2024,P0036,HomeEssence Storage Standard,1,126.04,114.82,19.17,460,4.7,146,342,0.58,1.98,101.99,24.05
25-05-2024,P0016,ChicLine Jeans Premium,1,236.77,227.5,0.0,436,4.6,214,456,0.22,1.0,167.75,69.02
20-07-2024,P0041,ClassicPress Children Plus,5,71.78,70.21,0.0,236,4.5,179,393,0.25,0.98,231.95,126.96
17-12-2024,P0017,TrendSet Dresses Pro,2,388.35,369.27,0.0,223,3.8,122,353,0.28,0.99,543.78,232.91
30-07-2024,P0015,StyleHub Jackets Premium,2,65.09,55.84,0.0,442,4.2,291,211,0.47,0.99,87.96,42.22
23-09-2024,P0036,HomeEssence Storage Standard,3,142.66,137.3,0.0,460,4.7,146,412,0.24,0.99,305.97,122.01
27-03-2024,P0011,ElectroMax Smartphones Standard,4,1937.37,1771.3,0.0,355,5.0,450,330,0.61,2.01,6378.2,1371.27
21-03-2024,P0033,ModernSpace Storage Plus,3,343.97,300.15,0.0,329,4.4,85,231,0.87,2.01,861.12,170.78
2024-10-09 00:00:00,P0013,UrbanWear Dresses Premium,4,165.89,151.54,24.39,361,4.6,286,214,0.47,1.01,648.6,14.94
16-05-2024,P0043,ModernReads Comics Plus,4,33.45,28.74,0.0,365,4.3,10,187,0.53,0.99,93.72,40.06
2024-12-04 00:00:00,P0036,HomeEssence Storage Standard,4,152.22,144.79,0.0,460,4.7,146,426,0.23,0.98,407.96,200.93
16-04-2024,P0032,HomeEssence Cookware Elite,6,478.76,407.4,0.0,444,3.9,389,66,4.55,3.0,1935.78,936.78
23-06-2024,P0015,StyleHub Jackets Premium,1,63.83,55.03,0.0,442,4.2,291,373,0.54,2.01,43.98,19.85
16-08-2024,P0012,TechPro Laptops Elite,3,1817.15,1734.06,0.0,107,4.2,498,292,0.68,1.99,4138.02,1313.44
31-05-2024,P0047,StoryWorld Children Pro,2,47.91,42.77,0.0,448,4.7,366,194,1.03,2.0,75.96,19.85
20-07-2024,P0030,HomeEssence Decor Pro,1,479.51,457.22,0.0,499,4.8,390,497,0.6,2.98,338.91,140.6
2024-02-12 00:00:00,P0033,ModernSpace Storage Plus,6,358.47,342.28,0.0,329,4.4,85,302,0.66,1.99,1722.24,428.55
2024-09-10 00:00:00,P0009,DigiCorp Smartphones Standard,3,577.08,531.39,0.0,123,4.6,285,423,0.24,1.02,1393.86,337.37
2024-02-04 00:00:00,P0014,StyleHub Jackets Elite,5,260.93,236.03,0.0,499,3.9,133,426,0.47,2.0,938.5,366.13
27-10-2024,P0037,ClassicPress Non-Fiction Plus,1,48.94,43.85,0.0,468,4.0,417,337,0.59,1.99,36.78,12.16
14-11-2024,P0023,TrendSet Jeans Standard,3,369.28,318.9,0.0,185,4.2,226,318,0.63,2.0,818.04,289.79
21-02-2025,P0042,AcademiaBooks Comics Premium,5,73.09,64.52,0.0,208,4.1,161,380,0.53,2.01,282.2,83.23
2025-06-01 00:00:00,P0007,TechPro Headphones Plus,2,1421.28,1239.82,0.0,286,4.9,362,138,0.72,0.99,2475.62,366.94
2025-06-02 00:00:00,P0022,StyleHub Shoes Pro,5,53.44,51.78,0.0,435,4.1,256,362,0.28,1.01,170.8,96.41
2024-07-05 00:00:00,P0011,ElectroMax Smartphones Standard,2,1921.56,1811.9,0.0,355,5.0,450,251,0.8,2.01,3189.1,654.01
2024-05-05 00:00:00,P0045,ClassicPress Non-Fiction Pro,3,44.88,40.94,0.0,469,4.5,125,264,0.38,1.0,89.61,45.02
2024-05-05 00:00:00,P0015,StyleHub Jackets Premium,3,63.61,57.58,0.0,442,4.2,291,476,0.84,4.0,131.94,58.88
21-02-2025,P0005,TechPro Tablets Elite,5,1554.24,1337.78,0.0,345,3.6,126,163,0.61,0.99,5632.4,2138.78
19-01-2025,P0048,StoryWorld Comics Standard,2,17.73,16.49,0.0,118,4.3,296,333,1.8,5.99,27.04,8.43
2024-10-07 00:00:00,P0005,TechPro Tablets Elite,3,1461.29,1308.69,0.0,345,3.6,126,270,0.37,1.0,3379.44,1004.42
16-04-2024,P0002,TechPro Laptops Premium,3,264.62,237.05,0.0,151,4.3,122,100,1.0,1.0,698.13,95.72
13-09-2024,P0012,TechPro Laptops Elite,3,1709.16,1656.55,0.0,107,4.2,498,388,0.26,1.01,4138.02,989.47
21-12-2024,P0041,ClassicPress Children Plus,1,68.63,62.05,0.0,236,4.5,179,149,1.34,2.0,46.39,22.24
2024-10-10 00:00:00,P0001,TechPro Laptops Pro,4,1395.68,1273.87,19.11,396,3.6,226,468,0.43,2.01,5984.08,-401.34
26-01-2025,P0026,ModernSpace Appliances Premium,5,88.33,79.06,17.42,70,4.5,299,364,0.55,2.0,365.75,75.89
26-02-2025,P0020,StyleHub T-Shirts Pro,2,278.96,273.01,0.0,394,3.6,216,270,0.74,2.0,409.04,148.88
15-07-2024,P0033,ModernSpace Storage Plus,1,340.6,311.64,0.0,329,4.4,85,420,0.71,2.98,287.04,53.56
20-01-2025,P0018,StyleHub T-Shirts Pro,4,299.75,259.33,0.0,490,3.9,352,481,0.21,1.01,872.8,326.21
16-05-2024,P0048,StoryWorld Comics Standard,1,18.52,16.04,0.0,118,4.3,296,351,0.57,2.0,13.52,5.0
16-04-2024,P0007,TechPro Headphones Plus,1,1385.58,1300.48,0.0,286,4.9,362,485,0.21,1.02,1237.81,147.77
18-01-2025,P0018,StyleHub T-Shirts Pro,2,294.01,276.86,0.0,490,3.9,352,151,1.32,1.99,436.4,151.62
2024-05-09 00:00:00,P0008,ElectroMax Smartwatches Plus,3,1462.14,1307.43,23.66,470,4.1,43,321,0.62,1.99,4155.0,231.41
19-10-2024,P0028,HomeEssence Bedding Pro,4,25.64,24.22,0.0,87,3.9,487,184,0.54,0.99,78.08,24.5
18-07-2024,P0005,TechPro Tablets Elite,4,1466.7,1295.57,0.0,345,3.6,126,346,0.29,1.0,4505.92,1360.86
2024-01-12 00:00:00,P0012,TechPro Laptops Elite,4,1335.73,1160.48,22.15,107,4.2,498,338,0.3,1.01,5517.36,-174.45
21-01-2025,P0025,ModernSpace Decor Premium,4,364.51,346.55,0.0,91,4.4,355,474,0.42,1.99,1035.52,422.52
2025-09-02 00:00:00,P0031,KitchenPro Decor Plus,3,204.47,184.64,0.0,401,4.3,138,146,0.68,0.99,441.27,172.13
2024-08-12 00:00:00,P0042,AcademiaBooks Comics Premium,4,70.75,60.25,0.0,208,4.1,161,215,0.93,2.0,225.76,57.25
2024-05-05 00:00:00,P0030,HomeEssence Decor Pro,6,476.76,439.35,0.0,499,4.8,390,322,0.31,1.0,2033.46,827.12
29-12-2024,P0019,UrbanWear Shoes Premium,5,253.08,230.88,0.0,292,4.7,107,164,1.22,2.0,854.95,410.47
2024-11-06 00:00:00,P0028,HomeEssence Bedding Pro,3,27.18,23.16,0.0,87,3.9,487,370,0.27,1.0,58.56,22.99
2024-12-07 00:00:00,P0008,ElectroMax Smartwatches Plus,1,1819.89,1708.86,0.0,470,4.1,43,352,0.28,0.99,1385.0,434.89
2024-05-05 00:00:00,P0047,StoryWorld Children Pro,2,39.28,36.97,22.62,448,4.7,366,318,0.94,2.99,75.96,2.61
19-10-2024,P0031,KitchenPro Decor Plus,1,203.69,188.68,0.0,401,4.3,138,186,1.08,2.01,147.09,56.6
2025-07-02 00:00:00,P0046,ModernReads Non-Fiction Pro,5,15.03,13.06,0.0,283,4.4,377,133,1.5,2.0,58.55,16.59
2024-08-06 00:00:00,P0023,TrendSet Jeans Standard,2,355.22,327.24,0.0,185,4.2,226,83,1.2,1.0,545.36,165.09
26-12-2024,P0025,ModernSpace Decor Premium,2,363.33,314.29,0.0,91,4.4,355,321,0.62,1.99,517.76,208.89
16-01-2025,P0011,ElectroMax Smartphones Standard,1,1909.31,1800.82,0.0,355,5.0,450,101,0.99,1.0,1594.55,314.76
29-06-2024,P0017,TrendSet Dresses Pro,1,406.04,378.79,0.0,223,3.8,122,298,0.34,1.01,271.89,134.15
29-12-2024,P0019,UrbanWear Shoes Premium,3,193.88,181.33,23.1,292,4.7,107,164,1.22,2.0,512.97,68.68
26-07-2024,P0034,KitchenPro Storage Pro,5,45.19,39.61,0.0,233,4.5,191,307,0.65,2.0,176.45,49.49
29-10-2024,P0017,TrendSet Dresses Pro,3,395.37,379.11,0.0,223,3.8,122,244,0.41,1.0,815.67,370.43
20-10-2024,P0036,HomeEssence Storage Standard,4,127.65,116.7,15.6,460,4.7,146,287,1.05,3.01,407.96,102.65
2024-06-10 00:00:00,P0024,TrendSet Jackets Premium,4,90.33,78.33,0.0,426,4.0,35,367,0.82,3.01,253.36,107.94
13-10-2024,P0019,UrbanWear Shoes Premium,2,188.37,175.2,24.03,292,4.7,107,403,0.25,1.01,341.98,34.75
2025-01-01 00:00:00,P0034,KitchenPro Storage Pro,1,37.86,35.36,16.92,233,4.5,191,238,0.84,2.0,35.29,2.57
14-04-2024,P0040,AcademiaBooks Children Premium,5,83.27,76.25,0.0,109,3.8,32,184,1.63,3.0,305.0,111.35
19-10-2024,P0037,ClassicPress Non-Fiction Plus,4,44.55,39.34,0.0,468,4.0,417,66,1.52,1.0,147.12,31.06
20-12-2024,P0027,ComfortLiving Decor Plus,6,563.97,552.52,5.8,185,4.5,244,115,1.74,2.0,2809.98,573.83
2024-11-03 00:00:00,P0003,DigiCorp Tablets Standard,4,1871.96,1805.85,0.0,224,4.9,182,307,0.65,2.0,6513.56,974.29
2024-06-06 00:00:00,P0033,ModernSpace Storage Plus,3,350.55,305.39,0.0,329,4.4,85,249,0.4,1.0,861.12,190.52
20-11-2024,P0024,TrendSet Jackets Premium,5,89.31,79.4,0.0,426,4.0,35,130,1.54,2.0,316.7,129.84
2024-05-11 00:00:00,P0007,TechPro Headphones Plus,1,1469.71,1425.4,0.0,286,4.9,362,273,0.37,1.01,1237.81,231.9
25-09-2024,P0012,TechPro Laptops Elite,2,1679.75,1573.75,0.0,107,4.2,498,453,0.44,1.99,2758.68,600.81
20-10-2024,P0023,TrendSet Jeans Standard,5,382.94,341.2,0.0,185,4.2,226,306,0.65,1.99,1363.4,551.28
15-09-2024,P0017,TrendSet Dresses Pro,2,402.11,343.34,0.0,223,3.8,122,51,1.96,1.0,543.78,260.44
24-04-2024,P0027,ComfortLiving Decor Plus,2,609.7,589.0,0.0,185,4.5,244,218,0.46,1.0,936.66,282.74
18-06-2024,P0031,KitchenPro Decor Plus,2,211.72,196.98,0.0,401,4.3,138,201,1.0,2.01,294.18,129.25
20-10-2024,P0020,StyleHub T-Shirts Pro,4,214.12,197.25,23.59,394,3.6,216,419,0.72,3.02,818.08,38.4
27-04-2024,P0009,DigiCorp Smartphones Standard,4,510.54,481.87,15.54,123,4.6,285,426,0.23,0.98,1858.48,183.69
28-01-2025,P0048,StoryWorld Comics Standard,5,16.76,14.81,8.85,118,4.3,296,262,0.76,1.99,67.6,16.22
20-12-2024,P0018,StyleHub T-Shirts Pro,2,282.74,248.93,0.0,490,3.9,352,55,3.64,2.0,436.4,129.08
28-09-2024,P0046,ModernReads Non-Fiction Pro,1,15.22,13.42,0.0,283,4.4,377,394,0.51,2.01,11.71,3.51
2024-07-12 00:00:00,P0016,ChicLine Jeans Premium,1,243.9,222.11,0.0,436,4.6,214,251,0.8,2.01,167.75,76.15
2024-07-03 00:00:00,P0007,TechPro Headphones Plus,3,1454.01,1284.35,0.0,286,4.9,362,202,1.49,3.01,3713.43,648.59
2024-11-09 00:00:00,P0041,ClassicPress Children Plus,5,68.95,58.72,0.0,236,4.5,179,95,3.16,3.0,231.95,112.78
2024-04-10 00:00:00,P0038,ModernReads Non-Fiction Pro,2,14.94,14.0,0.0,445,4.3,357,244,0.41,1.0,23.32,6.57
15-02-2025,P0007,TechPro Headphones Plus,5,1375.11,1207.15,0.0,286,4.9,362,162,1.23,1.99,6189.05,686.48
28-05-2024,P0045,ClassicPress Non-Fiction Pro,5,44.78,40.54,0.0,469,4.5,125,145,1.38,2.0,149.35,74.56
15-12-2024,P0007,TechPro Headphones Plus,4,1419.59,1246.61,0.0,286,4.9,362,390,0.77,3.0,4951.24,727.14
13-05-2024,P0016,ChicLine Jeans Premium,5,251.99,219.13,0.0,436,4.6,214,333,0.9,3.0,838.75,421.22
2024-07-05 00:00:00,P0035,ModernSpace Decor Plus,4,706.32,612.66,0.0,492,4.7,461,413,0.24,0.99,1949.24,876.03
30-08-2024,P0006,TechPro Headphones Standard,3,2293.32,2028.96,0.0,375,4.1,117,93,4.3,4.0,5153.61,1726.35
15-09-2024,P0047,StoryWorld Children Pro,6,37.69,32.59,24.33,448,4.7,366,140,0.71,0.99,227.88,-1.75
29-09-2024,P0032,HomeEssence Cookware Elite,2,458.29,390.87,0.0,444,3.9,389,112,1.79,2.0,645.26,271.31
19-05-2024,P0028,HomeEssence Bedding Pro,4,26.14,22.39,0.0,87,3.9,487,203,0.49,0.99,78.08,26.49
20-11-2024,P0045,ClassicPress Non-Fiction Pro,3,45.21,40.29,0.0,469,4.5,125,290,0.69,2.0,89.61,46.03
29-08-2024,P0017,TrendSet Dresses Pro,3,408.36,347.81,0.0,223,3.8,122,458,0.44,2.02,815.67,409.42
14-12-2024,P0033,ModernSpace Storage Plus,2,347.62,335.69,0.0,329,4.4,85,167,1.2,2.0,574.08,121.17
21-01-2025,P0041,ClassicPress Children Plus,3,66.45,58.16,0.0,236,4.5,179,454,0.44,2.0,139.17,60.17
2024-03-06 00:00:00,P0038,ModernReads Non-Fiction Pro,3,15.62,13.41,0.0,445,4.3,357,338,0.3,1.01,34.98,11.88
14-11-2024,P0032,HomeEssence Cookware Elite,2,461.4,425.02,0.0,444,3.9,389,69,1.45,1.0,645.26,277.54
2024-07-12 00:00:00,P0012,TechPro Laptops Elite,7,1760.44,1589.68,0.0,107,4.2,498,190,0.53,1.01,9655.38,2667.73
21-12-2024,P0029,HomeEssence Bedding Premium,2,571.23,497.7,0.0,410,5.0,344,105,3.81,4.0,882.9,259.55
20-04-2024,P0023,TrendSet Jeans Standard,2,380.47,349.84,0.0,185,4.2,226,87,2.3,2.0,545.36,215.57
2024-05-10 00:00:00,P0001,TechPro Laptops Pro,5,1681.68,1435.04,7.95,396,3.6,226,405,0.49,1.98,7480.1,928.3
23-05-2024,P0033,ModernSpace Storage Plus,3,348.93,315.02,0.0,329,4.4,85,207,1.93,4.0,861.12,185.67
24-09-2024,P0001,TechPro Laptops Pro,2,1706.05,1593.6,0.0,396,3.6,226,137,0.73,1.0,2992.04,420.07
30-10-2024,P0010,SmartGen Headphones Plus,5,2184.21,1892.03,0.0,310,3.6,66,167,0.6,1.0,9003.75,1917.32
17-09-2024,P0021,StyleHub Dresses Standard,6,125.36,116.01,0.0,143,4.8,48,179,1.12,2.0,537.72,214.44
2024-01-05 00:00:00,P0006,TechPro Headphones Standard,2,2261.31,2104.94,0.0,375,4.1,117,89,1.12,1.0,3435.74,1086.87
29-06-2024,P0045,ClassicPress Non-Fiction Pro,2,38.39,34.75,15.12,469,4.5,125,444,0.45,2.0,59.74,17.03
2024-02-04 00:00:00,P0017,TrendSet Dresses Pro,1,387.48,368.66,0.0,223,3.8,122,168,0.6,1.01,271.89,115.59
2024-12-12 00:00:00,P0036,HomeEssence Storage Standard,3,155.22,139.97,0.0,460,4.7,146,408,0.25,1.02,305.97,159.7
2025-05-01 00:00:00,P0041,ClassicPress Children Plus,3,62.25,60.77,9.44,236,4.5,179,231,1.3,3.0,139.17,47.57
19-02-2025,P0032,HomeEssence Cookware Elite,4,459.86,441.56,0.0,444,3.9,389,293,0.68,1.99,1290.52,548.91
26-12-2024,P0032,HomeEssence Cookware Elite,6,396.68,340.59,11.35,444,3.9,389,470,0.64,3.01,1935.78,444.3
2024-07-05 00:00:00,P0001,TechPro Laptops Pro,2,1850.17,1788.85,0.0,396,3.6,226,422,0.47,1.98,2992.04,708.3
2024-08-10 00:00:00,P0013,UrbanWear Dresses Premium,2,224.93,206.24,0.0,361,4.6,286,369,0.27,1.0,324.3,125.57
15-06-2024,P0011,ElectroMax Smartphones Standard,2,1622.13,1519.74,16.59,355,5.0,450,374,1.07,4.0,3189.1,55.15
2024-11-08 00:00:00,P0037,ClassicPress Non-Fiction Plus,3,47.44,41.44,0.0,468,4.0,417,485,0.21,1.02,110.34,31.98
2024-11-07 00:00:00,P0035,ModernSpace Decor Plus,2,685.55,610.17,0.0,492,4.7,461,149,0.67,1.0,974.62,396.48
2024-05-07 00:00:00,P0027,ComfortLiving Decor Plus,1,601.52,540.04,0.0,185,4.5,244,103,0.97,1.0,468.33,133.19
