product_id,category,price,competitor_price,discount,units_sold,date,season,day_of_week,stock_available,marketing_spend,customer_rating
P001,Clothing,435.7,424.04,6.8,71,2024-08-03,Summer,Saturday,282,654.74,3.9
P037,Electronics,1157.26,1221.98,5.8,41,2025-03-12,Spring,Wednesday,184,234.69,3.5
P001,Beauty,562.97,668.72,9.5,74,2023-06-09,Summer,Friday,479,807.1,4.3
P033,Electronics,2471.37,2559.61,16.9,43,2023-01-12,Winter,Thursday,99,236.81,4.2
P023,Electronics,2036.02,1965.98,18.6,51,2025-04-05,Spring,Saturday,118,495.7,4.1
P021,Beauty,261.53,273.07,4.3,61,2023-04-06,Spring,Thursday,156,1009.14,3.9
P013,Electronics,867.06,892.24,18.8,60,2024-02-01,Winter,Thursday,191,52.67,3.5
P028,Sports,1074.84,1004.48,13.8,36,2024-07-22,Summer,Monday,43,47.82,3.0
P031,Clothing,718.14,717.63,4.6,66,2025-08-11,Summer,Monday,496,1008.21,3.6
P040,Clothing,655.31,572.39,6.9,59,2025-12-29,Winter,Monday,256,43.6,3.7
P027,Clothing,1368.9,1530.47,9.6,45,2025-12-17,Winter,Wednesday,152,63.25,4.0
P001,Home,1229.23,1218.53,10.0,27,2024-11-15,Fall,Friday,164,405.97,4.1
P021,Home,1850.36,1834.99,14.9,19,2024-10-17,Fall,Thursday,475,23.26,3.7
P028,Beauty,258.04,254.78,3.0,68,2024-05-16,Spring,Thursday,451,384.04,3.9
P028,Beauty,149.89,142.97,22.6,78,2025-03-08,Spring,Saturday,246,401.02,3.6
P001,Clothing,1482.19,1517.23,3.1,52,2024-01-20,Winter,Saturday,409,29.01,4.7
P031,Beauty,797.48,816.77,13.8,39,2024-04-01,Spring,Monday,370,144.8,3.2
P001,Electronics,2319.6,2319.3,6.3,33,2023-08-24,Summer,Thursday,393,46.28,4.4
P047,Beauty,515.23,570.55,2.7,51,2025-03-16,Spring,Sunday,310,445.7,3.0
P034,Sports,1030.66,1102.07,3.9,46,2023-05-18,Spring,Thursday,188,922.87,4.0
P002,Beauty,206.85,198.88,0.9,71,2025-04-27,Spring,Sunday,99,255.66,3.2
P004,Electronics,2711.01,3156.72,6.8,34,2025-04-17,Spring,Thursday,5,382.24,3.2
P049,Clothing,1066.55,1042.05,4.0,62,2023-12-03,Winter,Sunday,30,1013.62,3.9
P015,Clothing,1163.94,1329.75,6.5,57,2025-03-16,Spring,Sunday,231,253.05,4.1
P028,Clothing,889.55,854.77,1.6,44,2023-03-08,Spring,Wednesday,237,345.02,3.9
P034,Electronics,1780.48,1563.54,4.7,22,2024-10-23,Fall,Wednesday,281,82.94,4.2
P011,Electronics,424.65,408.1,9.4,46,2024-10-07,Fall,Monday,122,149.14,3.7
P002,Home,1207.48,1113.05,14.3,48,2024-12-24,Winter,Tuesday,229,666.37,5.0
P014,Beauty,429.58,422.78,11.6,54,2023-06-21,Summer,Wednesday,390,194.57,2.3
P037,Electronics,2328.64,2470.27,2.1,28,2023-11-14,Fall,Tuesday,448,1676.59,4.1
P009,Clothing,353.73,356.18,6.7,57,2023-09-27,Fall,Wednesday,320,89.36,3.9
P014,Clothing,1371.01,1324.84,17.4,67,2024-09-07,Fall,Saturday,18,1149.63,4.3
P015,Electronics,850.2,833.93,10.5,50,2024-08-01,Summer,Thursday,395,655.68,4.3
P047,Beauty,421.57,438.86,6.2,54,2025-10-17,Fall,Friday,489,753.83,3.6
P002,Clothing,791.57,765.84,10.5,53,2023-01-15,Winter,Sunday,161,388.11,2.3
P045,Clothing,117.08,113.47,8.7,84,2023-01-11,Winter,Wednesday,258,1195.44,2.6
P047,Clothing,1426.2,1458.14,3.1,44,2025-09-30,Fall,Tuesday,360,1255.12,3.8
P031,Clothing,196.49,207.06,6.6,54,2025-09-09,Fall,Tuesday,317,201.84,3.1
P015,Beauty,334.48,313.17,13.2,69,2023-03-16,Spring,Thursday,298,212.59,4.0
P017,Home,210.77,196.97,5.7,49,2023-06-26,Summer,Monday,289,434.45,3.1
P020,Electronics,616.26,576.86,3.1,45,2023-08-03,Summer,Thursday,439,117.8,3.8
P029,Electronics,302.34,306.09,24.2,37,2025-10-06,Fall,Monday,198,382.27,3.4
P004,Electronics,1136.22,1146.19,6.2,55,2023-02-24,Winter,Friday,480,915.63,4.5
P003,Home,1085.19,1174.11,1.0,20,2025-10-03,Fall,Friday,268,52.37,4.4
P046,Home,1930.9,1669.34,2.3,22,2025-07-03,Summer,Thursday,40,514.91,4.3
P005,Sports,670.97,685.03,3.7,58,2025-03-15,Spring,Saturday,426,743.24,4.5
P035,Sports,1756.73,1706.83,8.4,36,2024-06-09,Summer,Sunday,13,390.04,4.0
P022,Home,930.15,985.46,9.5,50,2023-02-11,Winter,Saturday,360,344.67,3.7
P038,Clothing,1108.28,1028.59,2.8,54,2025-06-24,Summer,Tuesday,177,910.41,2.9
P046,Clothing,332.8,319.61,5.3,58,2023-05-29,Spring,Monday,271,170.33,4.7
P039,Home,1906.22,1985.5,11.5,20,2025-08-15,Summer,Friday,369,84.02,3.7
P009,Electronics,1184.31,1402.08,18.1,43,2023-05-11,Spring,Thursday,233,1.17,3.6
P049,Beauty,642.51,653.69,13.0,57,2025-09-02,Fall,Tuesday,202,1970.64,4.3
P026,Electronics,2843.37,3010.44,10.8,35,2023-05-17,Spring,Wednesday,375,1291.12,4.6
P039,Home,740.34,657.12,9.0,45,2023-07-02,Summer,Sunday,475,33.79,3.5
P029,Electronics,2266.0,1916.19,10.0,20,2025-11-28,Fall,Friday,306,215.94,3.8
P044,Electronics,1826.12,2032.01,7.3,47,2023-12-06,Winter,Wednesday,393,658.89,3.8
P030,Clothing,514.83,435.19,1.9,68,2023-01-11,Winter,Wednesday,66,475.2,3.7
P045,Clothing,165.72,187.21,5.5,80,2023-02-23,Winter,Thursday,51,121.88,5.0
P049,Beauty,245.18,209.27,5.1,62,2023-11-25,Fall,Saturday,72,433.85,3.4
P009,Home,1917.96,1961.82,11.1,15,2025-09-01,Fall,Monday,42,150.39,3.9
P006,Beauty,215.14,246.03,4.6,84,2023-08-12,Summer,Saturday,322,448.74,3.5
P034,Home,1749.31,1771.33,18.2,28,2025-02-19,Winter,Wednesday,367,136.36,3.5
P005,Home,1928.43,2020.13,12.6,26,2023-03-23,Spring,Thursday,360,406.17,3.2
P002,Beauty,512.7,513.71,6.3,59,2024-04-11,Spring,Thursday,418,9.3,5.0
P028,Sports,405.15,397.49,9.1,60,2024-12-31,Winter,Tuesday,196,615.8,3.9
P001,Clothing,204.57,194.97,23.6,75,2025-11-22,Fall,Saturday,138,232.48,4.8
P023,Clothing,322.51,341.38,10.6,80,2025-06-05,Summer,Thursday,289,591.57,4.6
P027,Home,1909.1,1875.13,1.6,16,2024-07-23,Summer,Tuesday,384,644.44,3.1
P049,Electronics,2201.79,2314.56,1.3,14,2025-09-11,Fall,Thursday,149,47.8,3.7
P050,Sports,130.37,123.59,7.8,63,2024-06-04,Summer,Tuesday,170,127.79,4.9
P002,Home,1971.05,1814.1,9.5,23,2024-08-29,Summer,Thursday,170,172.42,4.4
P038,Electronics,310.93,286.88,3.6,61,2024-12-14,Winter,Saturday,428,4.91,3.8
P033,Electronics,1181.76,988.73,3.6,34,2023-05-23,Spring,Tuesday,486,21.03,4.0
P003,Home,208.43,238.64,6.9,43,2023-09-08,Fall,Friday,387,41.75,4.2
P022,Clothing,773.27,832.05,17.3,62,2023-05-02,Spring,Tuesday,151,1862.05,3.1
P032,Home,449.09,467.27,1.0,49,2023-12-19,Winter,Tuesday,395,310.53,3.3
P024,Sports,1168.9,1229.42,9.4,43,2025-08-04,Summer,Monday,100,443.44,3.7
P036,Clothing,936.81,981.76,15.9,63,2024-06-13,Summer,Thursday,44,903.94,2.8
P036,Clothing,432.56,407.74,5.0,73,2023-01-14,Winter,Saturday,235,222.54,3.0
P025,Electronics,1317.33,1498.25,17.7,59,2024-09-21,Fall,Saturday,274,200.9,3.3
P041,Electronics,1458.41,1389.58,9.7,50,2024-11-17,Fall,Sunday,489,381.26,4.3
P028,Sports,1017.84,991.65,7.8,56,2025-12-18,Winter,Thursday,329,54.52,4.2
P020,Beauty,409.92,435.23,1.5,55,2023-05-31,Spring,Wednesday,388,71.19,3.3
P021,Electronics,2246.32,2163.94,3.6,32,2024-03-02,Spring,Saturday,462,8.84,2.9
P047,Electronics,285.08,273.29,7.1,57,2025-12-12,Winter,Friday,308,526.68,4.0
P050,Electronics,2626.03,2571.0,3.5,37,2023-01-19,Winter,Thursday,458,1158.22,4.3
P045,Home,844.99,895.88,16.8,40,2024-12-11,Winter,Wednesday,147,594.49,3.1
P049,Electronics,1444.37,1449.19,4.2,54,2023-03-26,Spring,Sunday,286,1512.87,4.3
P015,Sports,910.38,824.34,20.9,61,2024-03-02,Spring,Saturday,497,864.09,4.4
P015,Electronics,2033.14,1835.14,5.9,40,2024-01-08,Winter,Monday,56,554.48,3.5
P008,Clothing,954.47,1013.24,2.4,39,2025-11-28,Fall,Friday,401,102.03,4.5
P042,Sports,821.7,853.06,0.3,44,2023-01-10,Winter,Tuesday,476,264.69,4.1
P037,Sports,567.17,535.73,4.0,40,2025-09-19,Fall,Friday,443,441.68,4.2
P034,Electronics,806.87,885.92,17.3,60,2025-07-09,Summer,Wednesday,262,160.47,2.8
P042,Beauty,588.2,631.63,6.4,59,2025-01-13,Winter,Monday,233,1123.06,3.4
P006,Electronics,1928.04,2119.08,5.8,39,2023-03-08,Spring,Wednesday,304,196.03,3.4
P023,Sports,1225.13,1106.57,14.2,42,2024-03-28,Spring,Thursday,337,503.87,3.3
P042,Electronics,2501.06,2497.05,11.1,52,2024-02-10,Winter,Saturday,470,775.35,4.4
P012,Sports,1304.87,1409.46,6.3,26,2025-08-26,Summer,Tuesday,453,182.3,3.0
P004,Clothing,821.95,821.55,12.4,80,2023-02-11,Winter,Saturday,170,850.36,4.1
P030,Home,1611.56,1574.14,5.4,22,2023-05-10,Spring,Wednesday,423,212.4,3.8
P025,Clothing,285.53,341.83,5.8,61,2025-11-14,Fall,Friday,145,229.06,2.9
P032,Sports,630.09,632.81,0.1,52,2023-02-12,Winter,Sunday,258,461.35,2.9
P005,Home,504.8,501.61,3.4,41,2023-05-29,Spring,Monday,333,763.23,4.4
P016,Sports,1150.69,1099.1,2.0,41,2025-03-30,Spring,Sunday,424,374.37,3.1
P035,Home,916.14,955.82,10.9,36,2023-09-03,Fall,Sunday,234,150.43,3.7
P039,Beauty,211.4,218.03,6.0,74,2024-12-03,Winter,Tuesday,409,930.1,3.8
P004,Clothing,554.55,546.88,19.1,70,2024-02-01,Winter,Thursday,117,1554.28,2.2
P001,Clothing,712.64,771.93,11.9,71,2025-02-27,Winter,Thursday,288,506.95,4.3
P008,Electronics,1919.01,1923.92,4.0,31,2025-04-24,Spring,Thursday,204,44.3,5.0
P024,Home,172.4,174.95,3.2,36,2024-05-13,Spring,Monday,32,219.13,4.7
P032,Clothing,129.32,139.62,6.2,63,2025-04-15,Spring,Tuesday,82,35.88,3.4
P050,Clothing,1218.2,1274.17,9.6,46,2025-06-10,Summer,Tuesday,230,68.54,4.2
P009,Electronics,1252.78,1035.73,11.0,49,2024-11-16,Fall,Saturday,117,518.96,3.7
P039,Electronics,923.61,880.53,15.6,50,2023-10-29,Fall,Sunday,364,408.01,4.6
P025,Sports,173.4,172.09,7.9,72,2023-03-29,Spring,Wednesday,48,659.88,4.2
P003,Home,430.4,467.43,10.2,52,2023-05-16,Spring,Tuesday,366,408.27,4.2
P003,Electronics,978.13,997.3,4.5,45,2025-07-11,Summer,Friday,70,219.55,3.2
P022,Clothing,1165.39,1301.02,3.0,45,2024-11-28,Fall,Thursday,136,243.37,4.6
P035,Clothing,648.14,735.31,6.9,76,2025-11-09,Fall,Sunday,277,443.61,4.7
P024,Beauty,484.99,473.5,11.1,65,2024-08-16,Summer,Friday,407,157.23,3.8
P046,Home,258.32,281.38,4.3,52,2025-01-09,Winter,Thursday,354,198.89,4.8
P049,Home,1632.53,1614.87,8.7,24,2023-07-17,Summer,Monday,264,342.75,4.2
P047,Sports,752.52,865.98,20.4,37,2023-09-11,Fall,Monday,122,159.46,3.0
P019,Clothing,1293.82,1311.45,7.3,68,2025-07-05,Summer,Saturday,78,1385.12,4.4
P039,Clothing,1373.15,1343.03,3.6,24,2024-09-09,Fall,Monday,418,18.48,3.8
P014,Clothing,480.73,444.06,3.7,67,2024-08-18,Summer,Sunday,342,1184.56,3.9
P033,Home,792.59,808.26,12.1,28,2023-11-10,Fall,Friday,25,148.21,3.4
P024,Electronics,1499.01,1567.01,6.8,32,2024-09-20,Fall,Friday,200,270.63,4.0
P033,Electronics,2945.45,2829.52,2.0,28,2023-07-17,Summer,Monday,102,331.5,4.8
P034,Home,1354.3,1452.24,4.1,22,2024-09-02,Fall,Monday,196,789.91,2.3
P021,Sports,1026.24,1091.54,10.1,64,2025-02-20,Winter,Thursday,415,1465.33,3.2
P049,Clothing,191.29,197.1,11.7,83,2025-02-12,Winter,Wednesday,171,534.69,3.5
P019,Beauty,773.36,780.37,1.8,55,2024-07-20,Summer,Saturday,397,252.07,4.8
P042,Sports,1283.03,1370.56,3.3,37,2023-02-09,Winter,Thursday,490,75.83,3.4
P037,Sports,1494.64,1614.63,6.0,38,2025-10-09,Fall,Thursday,25,645.83,4.6
P003,Electronics,282.22,264.78,4.2,48,2023-09-22,Fall,Friday,376,1251.79,4.0
P011,Clothing,1250.29,1038.06,5.4,37,2023-06-05,Summer,Monday,252,45.61,4.5
P034,Electronics,2271.08,2569.24,13.1,45,2023-09-30,Fall,Saturday,329,820.45,3.5
P033,Sports,1356.8,1322.33,5.9,47,2023-01-01,Winter,Sunday,460,37.72,4.2
P025,Beauty,74.89,71.33,17.0,84,2024-07-04,Summer,Thursday,397,776.64,3.0
P033,Home,150.35,145.79,3.5,51,2024-08-18,Summer,Sunday,373,21.47,2.9
P023,Electronics,1018.21,1033.73,7.4,54,2025-12-22,Winter,Monday,77,181.74,3.4
P047,Sports,291.39,299.95,24.1,65,2025-09-27,Fall,Saturday,447,655.12,3.6
P028,Clothing,1034.93,1047.25,11.0,59,2024-04-21,Spring,Sunday,66,791.35,3.9
P046,Clothing,902.69,814.16,7.1,37,2025-11-24,Fall,Monday,469,33.44,3.7
P012,Electronics,1154.28,1176.54,6.3,52,2024-05-19,Spring,Sunday,161,510.28,3.2
P004,Sports,929.03,960.56,7.7,46,2023-08-02,Summer,Wednesday,157,1.46,5.0
P027,Home,662.11,637.24,2.2,26,2024-10-14,Fall,Monday,193,2.76,4.6
P049,Clothing,510.88,504.34,13.2,67,2023-07-02,Summer,Sunday,45,15.06,4.0
P011,Beauty,747.07,753.83,8.0,49,2025-08-14,Summer,Thursday,113,468.13,4.4
P039,Sports,1496.04,1513.38,5.0,38,2024-08-16,Summer,Friday,489,64.5,3.2
P033,Sports,236.31,227.03,10.0,61,2024-03-25,Spring,Monday,311,450.28,3.9
P028,Home,1489.35,1496.3,4.2,6,2025-09-12,Fall,Friday,361,65.63,3.7
P023,Electronics,388.68,411.46,13.4,58,2023-03-14,Spring,Tuesday,441,989.32,2.8
P032,Home,982.73,1100.34,10.1,32,2024-11-09,Fall,Saturday,294,91.28,3.7
P001,Electronics,2850.6,2801.59,15.4,26,2025-10-03,Fall,Friday,483,784.44,3.2
P005,Clothing,1278.41,1433.32,21.7,52,2023-12-29,Winter,Friday,452,267.35,3.9
P015,Beauty,266.93,247.72,6.3,61,2023-07-20,Summer,Thursday,373,46.17,3.0
P017,Beauty,778.06,941.95,1.0,41,2025-01-31,Winter,Friday,345,209.62,3.5
P028,Beauty,383.03,405.95,5.7,65,2025-01-31,Winter,Friday,279,112.39,4.4
P017,Beauty,457.27,453.39,7.3,64,2024-01-30,Winter,Tuesday,491,66.66,3.3
P046,Clothing,1421.66,1407.49,1.9,53,2024-02-11,Winter,Sunday,403,465.39,3.8
P017,Home,1804.74,1902.11,1.4,24,2025-06-21,Summer,Saturday,369,323.59,3.1
P038,Home,979.39,1162.2,8.1,33,2024-11-13,Fall,Wednesday,327,589.69,3.5
P016,Sports,1467.54,1379.83,4.5,44,2023-01-19,Winter,Thursday,374,564.77,3.4
P007,Home,1515.06,1577.49,8.6,25,2023-09-14,Fall,Thursday,168,602.04,4.3
P034,Sports,792.08,736.79,7.5,54,2023-02-14,Winter,Tuesday,65,53.2,4.1
P017,Clothing,1212.32,1194.94,12.3,50,2023-10-22,Fall,Sunday,455,813.5,3.3
P027,Beauty,487.44,514.77,5.7,60,2025-12-12,Winter,Friday,279,521.8,1.7
P010,Sports,1162.13,1181.62,3.9,36,2025-11-11,Fall,Tuesday,34,367.16,4.2
P018,Sports,944.38,905.93,4.9,36,2025-09-17,Fall,Wednesday,245,357.83,3.6
P050,Electronics,1153.04,1170.1,2.4,43,2023-06-26,Summer,Monday,202,236.86,3.9
P033,Sports,1175.61,1361.99,12.1,51,2024-06-06,Summer,Thursday,277,563.67,5.0
P037,Clothing,246.73,198.86,9.5,59,2023-08-15,Summer,Tuesday,240,1.44,3.8
P037,Beauty,361.85,371.33,2.5,51,2024-09-12,Fall,Thursday,347,467.93,3.3
P007,Sports,1355.62,1472.22,3.1,44,2023-08-23,Summer,Wednesday,231,549.61,4.2
P044,Beauty,566.03,592.73,9.0,62,2024-02-02,Winter,Friday,142,15.96,3.2
P012,Sports,116.87,121.9,10.0,60,2024-04-09,Spring,Tuesday,108,70.5,4.6
P042,Home,857.77,933.11,3.4,37,2024-10-26,Fall,Saturday,37,671.67,4.2
P012,Home,1376.56,1489.73,5.4,35,2025-12-04,Winter,Thursday,218,82.63,3.9
P029,Clothing,944.61,987.4,4.3,69,2024-01-28,Winter,Sunday,123,769.0,3.8
P015,Sports,1420.78,1496.08,5.5,48,2024-03-31,Spring,Sunday,364,1184.47,3.1
P001,Electronics,2852.71,2617.25,16.6,36,2024-11-16,Fall,Saturday,246,585.75,3.8
P041,Home,232.44,201.03,3.6,33,2024-08-20,Summer,Tuesday,450,307.78,3.7
P030,Home,456.64,512.66,2.3,36,2023-11-27,Fall,Monday,337,374.58,4.9
P041,Sports,1717.43,1724.02,5.1,38,2025-06-04,Summer,Wednesday,470,1986.36,2.8
P034,Electronics,2888.38,2754.09,9.1,37,2023-01-08,Winter,Sunday,482,633.51,4.3
P039,Electronics,655.56,733.39,7.4,55,2023-06-20,Summer,Tuesday,473,125.56,3.7
P008,Home,619.57,597.16,7.8,41,2025-01-09,Winter,Thursday,269,83.5,5.0
P007,Electronics,1979.24,1965.85,3.0,31,2025-08-18,Summer,Monday,118,1162.6,2.5
P001,Electronics,614.9,651.6,2.4,46,2025-04-03,Spring,Thursday,439,278.87,4.4
P045,Sports,831.17,925.61,4.7,56,2024-07-06,Summer,Saturday,372,201.41,4.5
P027,Sports,601.91,623.28,4.9,69,2023-07-08,Summer,Saturday,168,591.46,4.3
P003,Clothing,1326.24,1137.53,7.1,34,2024-11-10,Fall,Sunday,395,113.81,2.0
P022,Sports,1743.64,1712.93,14.2,30,2023-11-02,Fall,Thursday,34,196.74,4.4
P014,Electronics,1238.63,1383.28,1.4,45,2024-03-18,Spring,Monday,166,758.5,3.2
P010,Electronics,1212.79,1223.01,6.8,49,2025-01-22,Winter,Wednesday,325,616.34,3.0
P015,Home,1636.51,1581.81,10.0,43,2024-07-14,Summer,Sunday,80,555.93,3.0
P017,Home,1042.63,863.85,8.8,23,2024-11-04,Fall,Monday,193,51.3,4.0
P006,Electronics,1696.01,2092.65,0.3,41,2025-09-26,Fall,Friday,17,1628.72,4.1
P025,Sports,1251.16,1102.11,14.8,51,2024-01-10,Winter,Wednesday,455,950.83,3.8
P016,Sports,417.75,421.15,7.4,60,2025-06-20,Summer,Friday,101,281.53,4.0
P033,Clothing,705.87,642.82,11.7,63,2024-01-26,Winter,Friday,83,61.76,3.7
P029,Sports,572.35,602.64,8.7,54,2023-07-21,Summer,Friday,21,54.42,4.1
P041,Beauty,192.36,171.63,8.5,68,2023-07-27,Summer,Thursday,6,169.46,3.3
P043,Home,289.83,291.44,6.4,65,2024-08-18,Summer,Sunday,487,522.78,4.6
P048,Electronics,1672.12,1960.44,2.7,24,2023-10-11,Fall,Wednesday,453,7.76,4.7
P036,Home,1921.52,2000.57,13.8,30,2023-06-25,Summer,Sunday,170,53.73,3.8
P035,Sports,1372.25,1357.82,7.3,41,2025-05-09,Spring,Friday,277,395.79,3.5
P045,Electronics,2491.43,2697.96,7.3,24,2025-03-12,Spring,Wednesday,300,219.14,2.8
P033,Home,1250.39,1102.53,3.0,19,2024-05-18,Spring,Saturday,178,253.29,2.1
P027,Home,1575.87,1587.54,2.5,33,2025-03-06,Spring,Thursday,357,1128.55,4.6
P021,Clothing,982.35,1047.63,1.7,57,2023-04-02,Spring,Sunday,22,870.75,3.3
P013,Sports,1103.4,946.85,9.4,41,2025-04-02,Spring,Wednesday,7,263.54,2.9
P038,Beauty,170.35,181.12,10.7,95,2023-07-15,Summer,Saturday,144,143.81,4.0
P021,Beauty,315.34,346.74,8.1,53,2024-09-13,Fall,Friday,494,233.82,3.2
P049,Beauty,727.67,745.61,0.8,54,2024-02-18,Winter,Sunday,317,6.67,4.4
P023,Beauty,591.45,504.57,13.5,58,2024-08-19,Summer,Monday,454,379.53,3.3
P033,Electronics,1359.76,1422.05,6.5,33,2025-10-31,Fall,Friday,210,91.32,5.0
P015,Sports,1072.25,995.12,6.5,43,2023-07-14,Summer,Friday,334,265.4,3.3
P034,Home,1161.37,1128.03,7.5,40,2023-10-22,Fall,Sunday,132,1967.02,5.0
P026,Electronics,2100.91,2106.36,6.8,36,2024-06-24,Summer,Monday,121,125.45,4.2
P028,Electronics,1699.84,1750.44,16.3,43,2024-12-18,Winter,Wednesday,417,101.33,3.7
P030,Electronics,2449.91,2437.46,6.8,37,2024-12-16,Winter,Monday,243,390.18,3.4
P002,Beauty,652.86,554.85,14.3,62,2024-07-27,Summer,Saturday,136,312.03,2.8
P043,Home,851.57,938.42,7.9,35,2023-11-13,Fall,Monday,211,24.94,2.6
P037,Beauty,312.65,340.82,9.2,63,2025-06-13,Summer,Friday,224,247.77,3.2
P031,Home,951.35,898.88,8.7,40,2025-04-23,Spring,Wednesday,174,268.05,3.2
P040,Home,492.94,533.71,6.5,47,2024-05-28,Spring,Tuesday,182,241.28,4.4
P032,Electronics,961.45,1040.72,2.2,37,2025-09-16,Fall,Tuesday,177,874.11,2.6
P027,Sports,1500.4,1481.61,11.7,37,2023-06-10,Summer,Saturday,32,122.46,4.3
P021,Home,1675.0,1640.24,11.0,40,2024-01-01,Winter,Monday,191,360.98,3.5
P013,Clothing,1282.82,1330.98,1.3,42,2024-04-02,Spring,Tuesday,455,3022.07,3.2
P011,Home,1720.98,1687.38,6.4,23,2024-08-20,Summer,Tuesday,170,8.65,4.0
P036,Home,159.89,158.25,12.4,61,2023-01-19,Winter,Thursday,175,563.7,3.7
P048,Home,1756.56,1605.92,3.2,23,2025-06-19,Summer,Thursday,55,292.65,4.6
P042,Sports,1697.88,1786.78,5.5,30,2023-10-04,Fall,Wednesday,432,346.93,3.6
P041,Clothing,876.56,952.13,9.2,72,2024-02-10,Winter,Saturday,218,433.42,4.2
P050,Sports,1265.17,1063.43,0.8,44,2023-01-13,Winter,Friday,465,439.14,4.3
P026,Home,1246.75,1350.57,5.4,36,2025-07-14,Summer,Monday,213,466.78,3.0
P045,Home,1789.27,1879.38,3.6,17,2024-08-29,Summer,Thursday,377,32.21,3.9
P012,Electronics,2074.06,2041.46,4.7,35,2025-12-30,Winter,Tuesday,368,92.03,3.3
P024,Clothing,204.75,224.93,13.7,57,2024-10-11,Fall,Friday,43,227.53,2.9
P036,Beauty,177.59,180.42,6.7,72,2023-07-11,Summer,Tuesday,490,758.33,4.9
P044,Sports,929.32,845.6,8.8,52,2023-04-16,Spring,Sunday,185,271.16,5.0
P048,Clothing,1034.1,1073.98,6.4,63,2024-01-28,Winter,Sunday,44,232.18,3.9
P016,Electronics,1579.19,1401.67,13.6,35,2025-11-07,Fall,Friday,404,198.92,4.9
P040,Beauty,717.41,719.87,10.7,47,2025-04-24,Spring,Thursday,164,163.85,3.8
P003,Beauty,354.92,348.68,6.4,69,2023-07-04,Summer,Tuesday,10,234.64,3.4
P012,Electronics,2242.5,1910.19,6.1,39,2024-01-23,Winter,Tuesday,17,488.39,5.0
P013,Electronics,625.74,632.27,1.0,38,2023-04-19,Spring,Wednesday,283,172.28,3.3
P013,Beauty,399.72,380.31,13.8,78,2023-08-26,Summer,Saturday,98,322.83,4.6
P048,Electronics,1629.63,1729.78,9.8,46,2024-02-21,Winter,Wednesday,317,288.29,3.8
P035,Home,980.72,1003.26,4.3,28,2023-04-17,Spring,Monday,236,111.47,3.9
P031,Electronics,790.19,861.48,8.4,48,2024-05-07,Spring,Tuesday,196,282.04,4.2
P011,Electronics,1130.18,1087.81,8.8,52,2025-11-17,Fall,Monday,454,483.29,3.9
P022,Clothing,1378.1,1316.34,2.1,34,2023-03-24,Spring,Friday,190,162.95,4.2
P028,Electronics,449.17,419.69,6.8,50,2024-01-05,Winter,Friday,392,110.63,3.5
P012,Beauty,385.04,334.24,5.1,60,2025-10-30,Fall,Thursday,215,1173.58,4.3
P016,Electronics,219.26,231.52,13.8,80,2023-12-17,Winter,Sunday,438,1129.58,3.6
P048,Electronics,1432.16,1449.06,7.0,49,2025-06-02,Summer,Monday,298,573.09,4.0
